Article_Title,Author,Year,Description,Revue,Volume,Number,Pages
Mice lacking Period 1 and Period 2 circadian clock genes exhibit blue cone photoreceptor defects,O Ait‐Hmyed,2013,"European Journal of Neuroscience 37 (7), 1048-1060, 2013",European Journal of Neuroscience,37,7,1048-1060
Sensorimotor cortex projections to the ventrolateral and the dorsomedial medulla oblongata in the rat,SB M'hamed,1993,"Neuroscience letters 164 (1-2), 195-198, 1993",Neuroscience letters,164,1-2,195-198
"The distribution of 5-HT immunoreactive systems in the brain of a saurian, the chameleon.",M Bennis,1990,"Journal fur Hirnforschung 31 (5), 563-574, 1990",Journal fur Hirnforschung,31,5,563-574
The developmental neurobehavioral effects of fenugreek seeds on prenatally exposed mice,L Khalki,2012,"Journal of ethnopharmacology 139 (2), 672-677, 2012",Journal of ethnopharmacology,139,2,672-677
Diabetic retinopathy alters light-induced clock gene expression and dopamine levels in the mouse retina,H Lahouaoui,2016,"Molecular vision 22, 959, 2016",Molecular vision,22,,959
Behavioral and cognitive changes after early postnatal lesions of the rat mediodorsal thalamus,Z Ouhaz,2015,"Behavioural brain research 292, 219-232, 2015",Behavioural brain research,292,,219-232
Clock genes and behavioral responses to light are altered in a mouse model of diabetic retinopathy,H Lahouaoui,2014,"PLoS One 9 (7), e101584, 2014",PLoS One,9,7,e101584
Microstructure and physical properties of lime-clayey adobe bricks,Y Millogo,2008,"Construction and Building Materials 22 (12), 2386-2392, 2008",Construction and Building Materials,22,12,2386-2392
Mineralogy and firing characteristics of a clay from the valley of Ourika (Morocco),M Hajjaji,2002,"Applied Clay Science 21 (3-4), 203-212, 2002",Applied Clay Science,21,3-4,203-212
Removal of methylene blue from aqueous solution by fibrous clay minerals,M Hajjaji,2006,"Journal of hazardous materials 135 (1-3), 188-192, 2006",Journal of hazardous materials,135,1-3,188-192
Adsorption of methylene blue and zinc ions on raw and acid-activated bentonite from Morocco,M Hajjaji,2009,"Applied Clay Science 46 (4), 418-421, 2009",Applied Clay Science,46,4,418-421
Chemical and mineralogical characterization of a clay taken from the Moroccan Meseta and a study of the interaction between its fine fraction and methylene blue,M Hajjaji,2001,"applied clay science 20 (1-2), 1-12, 2001",applied clay science,20,1-2,1-12
Phosphate sludge: thermal transformation and use as lightweight aggregate material,M Loutou,2013,"Journal of environmental management 130, 354-360, 2013",Journal of environmental management,130,,354-360
"Physical properties, microstructure and mineralogy of termite mound material considered as construction materials",Y Millogo,2011,"Applied Clay Science 52 (1-2), 160-164, 2011",Applied Clay Science,52,1-2,160-164
A Chloritic-illitic clay from Morocco: Temperature–time–transformation and neoformation,A Khalfaoui,2009,"Applied Clay Science 45 (1-2), 83-89, 2009",Applied Clay Science,45,1-2,83-89
Effects of two mixtures of kaolin-talc-bauxite and firing temperatures on the characteristics of cordierite-based ceramics,D Njoya,2016,"Journal of Building Engineering 8, 99-106, 2016",Journal of Building Engineering,8,,99-106
Effects of some processing factors on technical properties of a clay-based ceramic material,D Njoya,2012,"Applied Clay Science 65, 106-113, 2012",Applied Clay Science,65,,106-113
Cement-lateritic gravels mixtures: Microstructure and strength characteristics,Y Millogo,2008,"Construction and building materials 22 (10), 2078-2086, 2008",Construction and building materials,22,10,2078-2086
Sintering mechanism and ceramic phases of an illitic–chloritic raw clay,A Khalfaoui,2006,"Journal of the European Ceramic Society 26 (1-2), 161-167, 2006",Journal of the European Ceramic Society,26,1-2,161-167
Effects of the experimental factors on the microstructure and the properties of cured alkali-activated heated clay,K El Hafid,2015,"Applied Clay Science 116, 202-210, 2015",Applied Clay Science,116,,202-210
Influence of NaOH concentration on microstructure and properties of cured alkali-activated calcined clay,K El Hafid,2017,"Journal of Building Engineering 11, 158-165, 2017",Journal of Building Engineering,11,,158-165
Evaluation of the simultaneous effects of firing cycle parameters on technological properties and ceramic suitability of a raw clay using the response surface methodology,A Khalfaoui,2006,"Journal of the American Ceramic Society 89 (5), 1563-1567, 2006",Journal of the American Ceramic Society,89,5,1563-1567
"A calcareous clay from Tamesloht (Al Haouz, Morocco): Properties and thermal transformations",M Hajjaji,2011,"Applied clay science 51 (4), 507-510, 2011",Applied clay science,51,4,507-510
Clay-calcite mixes: sintering and phase formation,M Hajjaji,2004,"British ceramic transactions 103 (1), 29-32, 2004",British ceramic transactions,103,1,29-32
Dendrimers and hyper-branched polymers interacting with clays: fruitful associations for functional materials,AM Caminade,2019,"Journal of Materials Chemistry A 7 (34), 19634-19650, 2019",Journal of Materials Chemistry A,7,34,19634-19650
Microstructural characterisation and physical properties of cured thermally activated clay-lime blends,Y Mleza,2012,"Construction and Building Materials 26 (1), 226-232, 2012",Construction and Building Materials,26,1,226-232
Microstructural characterization and influence of manufacturing parameters on technological properties of vitreous ceramic materials,D Njoya,2010,"Materials characterization 61 (3), 289-295, 2010",Materials characterization,61,3,289-295
Experimental and theoretical study of a humidification-dehumidification water desalination system using solar energy,J Orfi,2004,"Desalination 168, 151-159, 2004",Desalination,168,,151-159
Experimental and numerical study of an earth-to-air heat exchanger for air cooling in a residential building in hot semi-arid climate,M Khabbaz,2016,"Energy and Buildings 125, 109-121, 2016",Energy and Buildings,125,,109-121
Thermomechanical characterization of a bio-composite building material: Mortar reinforced with date palm fibers mesh,M Boumhaout,2017,"Construction and Building Materials 135, 241-250, 2017",Construction and Building Materials,135,,241-250
Laminar mixed convection of humid air in a vertical channel with evaporation or condensation at the wall,ZA Hammou,2004,"International Journal of Thermal Sciences 43 (6), 531-539, 2004",International Journal of Thermal Sciences,43,6,531-539
Moisture content influence on the thermal conductivity of insulating building materials made from date palm fibers mesh,L Boukhattem,2017,"Construction and Building Materials 148, 811-823, 2017",Construction and Building Materials,148,,811-823
Buoyancy effects on upward and downward laminar mixed convection heat and mass transfer in a vertical channel,Y Azizi,2007,"International Journal of Numerical Methods for Heat & Fluid Flow, 2007","International Journal of Numerical Methods for Heat & Fluid Flow,",,,
Experimental and numerical study of mixed convection heat and mass transfer in a vertical channel with film evaporation,AS Cherif,2011,"International Journal of Thermal Sciences 50 (6), 942-953, 2011",International Journal of Thermal Sciences,50,6,942-953
Thermal performance assessment of passive techniques integrated into a residential building in semi-arid climate,H Mastouri,2017,"Energy and Buildings 143, 1-16, 2017",Energy and Buildings,143,,1-16
Stability and thermal conductivity enhancement of aqueous nanofluid based on surfactant-modified TiO2,M Ouikhalfan,2019,"Journal of Dispersion Science and Technology, 2019","Journal of Dispersion Science and Technology,",,,
Preparation and characterization of nano‐enhanced myristic acid using metal oxide nanoparticles for thermal energy storage,M Ouikhalfan,2019,"International journal of energy research 43 (14), 8592-8607, 2019",International journal of energy research,43,14,8592-8607
Energy performances of a passive building in Marrakech: parametric study,B Benhamou,2013,"Energy procedia 42, 624-632, 2013",Energy procedia,42,,624-632
Experimental assessment of thermal performance of three passive cooling techniques for roofs in a semi-arid climate,S Kachkouch,2018,"Energy and Buildings 164, 153-164, 2018",Energy and Buildings,164,,153-164
Flow reversal in combined laminar mixed convection heat and mass transfer with phase change in a vertical channel,O Oulaid,2010,"International journal of heat and fluid flow 31 (4), 711-721, 2010",International journal of heat and fluid flow,31,4,711-721
Thermal characterization of a Tunisian gypsum plaster as construction material,MB Mansour,2013,"Energy Procedia 42, 680-688, 2013",Energy Procedia,42,,680-688
Thermal behavior and energy saving analysis of a flat with different energy efficiency measures in six climates,EHD Lamrhari,2018,"Building Simulation 11 (6), 1123-1144, 2018",Building Simulation,11,6,1123-1144
A numerical study of the longitudinal thermoconvective rolls in a mixed convection flow in a horizontal channel with a free surface,L Bammou,2013,"International journal of heat and fluid flow 42, 265-277, 2013",International journal of heat and fluid flow,42,,265-277
Mixed Convection Heat and Mass Transfer with Phase Change and Flow Reversal in Channels,B Benhamou,2011,"Chap. in Book ""Mass transfer in multiphase systems and its applications …, 2011","Chap. in Book ""Mass transfer in multiphase systems and its applications …,",,,
Combined buoyancy effects of thermal and mass diffusion on laminar convection in a vertical isothermal channel,O Oulaid,2010,"Computational Thermal Sciences: An International Journal 2 (2), 2010",Computational Thermal Sciences: An International Journal,2,2,
Analysis for thermal behavior and energy savings of a semi-detached house with different insulation strategies in a hot semi-arid climate,I Sobhy,2017,"Journal of Green Building 12 (1), 78-106, 2017",Journal of Green Building,12,1,78-106
Mechanical and thermophysical properties of compressed earth brick rienforced by raw and treated doum fibers,I Bouchefra,2022,"Construction and Building Materials 318, 126031, 2022",Construction and Building Materials,318,,126031
Composition of pseudo almost periodic functions and Cauchy problems with operator of non dense domain,B Amir,1999,"Annales Mathématiques Blaise Pascal 6 (1), 1-11, 1999",Annales Mathématiques Blaise Pascal,6,1,1-11
Feedback stabilization of a class of evolution equations with delay,EM Ait Benhassi,2009,"Journal of Evolution Equations 9, 103-121, 2009",Journal of Evolution Equations,9,,103-121
Almost periodicity of inhomogeneous parabolic evolution equations,L Maniar,2019,"Evolution equations, 299-318, 2019","Evolution equations,",299-318,,
Almost periodic solutions to some semilinear non-autonomous thermoelastic plate equations,M Baroun,2009,"Journal of Mathematical Analysis and Applications 349 (1), 74-84, 2009",Journal of Mathematical Analysis and Applications,349,1,74-84
Almost automorphic solutions for hyperbolic semilinear evolution equations,S Boulite,2005,"Semigroup Forum 71, 231-240, 2005",Semigroup Forum,71,,231-240
Null controllability of degenerate parabolic cascade systems,FA Khodja,2011,"Portugaliae Mathematica 68 (3), 345-367, 2011",Portugaliae Mathematica,68,3,345-367
Null controllability for parabolic equations with dynamic boundary conditions,L Maniar,2017,"Evol. Equ. Control Theory 6 (3), 381-407, 2017",Evol. Equ. Control Theory,6,3,381-407
Linear delay equations in the Lp-context,L Maniar,2019,"Evolution equations, 319-330, 2019","Evolution equations,",319-330,,
Lipschitz stability for linear parabolic systems with interior degeneracy,I Boutaayamou,2014,"Electron. J. Differential Equations 2014, 1-26, 2014",Electron. J. Differential Equations,2014,,1-26
Carleman estimates and null controllability of coupled degenerate systems,EM Hassi,2011,"arXiv preprint arXiv:1111.3665, 2011",arXiv preprint arXiv:,1111.3665,,
Almost automorphy of semilinear parabolic evolution equations.,M Baroun,2008,"Electronic Journal of Differential Equations (EJDE)[electronic only] 2008 …, 2008",Electronic Journal of Differential Equations (EJDE)[electronic only],2008 …,,
Existence and uniqueness of C (n)-almost periodic solutions to some ordinary differential equations,J Liang,2007,"Nonlinear Analysis: Theory, Methods & Applications 66 (9), 1899-1910, 2007","Nonlinear Analysis: Theory, Methods & Applications",66,9,1899-1910
Carleman estimates for parabolic equations with interior degeneracy and Neumann boundary conditions,I Boutaayamou,2018,"Journal d'Analyse Mathématique 135, 1-35, 2018",Journal d'Analyse Mathématique,135,,1-35
Null controllability of a model in population dynamics,Y Echarroudi,2014,"Electronic journal of differential equations 2014 (240), 1-20, 2014",Electronic journal of differential equations,2014,240,1-20
Extrapolation and inhornogeneous retarded differential equations on infinite dimensional spaces,L Maniar,1998,"Rendiconti del Circolo Matematico di Palermo 47, 331-346, 1998",Rendiconti del Circolo Matematico di Palermo,47,,331-346
Regularity properties of perturbed Hille-Yosida operators and retarded differential equations,A Bátkai,2001,"Semigroup Forum 64, 55-70, 2001",Semigroup Forum,64,,55-70
Controllability of semilinear boundary problems with nonlocal initial conditions,S Boulite,2006,"Journal of mathematical analysis and applications 316 (2), 566-578, 2006",Journal of mathematical analysis and applications,316,2,566-578
Null controllability of a population dynamics with degenerate diffusion,BE Ainseba,2013,,,,,
The asymptotic behavior of a population equation with diffusion and delayed birth process,G Fragnelli,2007,"Discrete and Continuous Dynamical Systems-B 7 (4), 735-754, 2007",Discrete and Continuous Dynamical Systems-B,7,4,735-754
Existence and asymptotic behavior of solutions of semilinear Cauchy problems with non dense domain via extrapolation spaces,B Amir,2000,"Rendiconti del Circolo Matematico di Palermo 49, 481-496, 2000",Rendiconti del Circolo Matematico di Palermo,49,,481-496
Improved mechanical properties of k-carrageenan-based nanocomposite films reinforced with cellulose nanocrystals,Z Kassab,2019,"International Journal of Biological Macromolecules 123, 1248-1256, 2019",International Journal of Biological Macromolecules,123,,1248-1256
Synthesis and Toxicity of Graphene Oxide Nanoparticles: A Literature Review of In Vitro and In Vivo Studies,MSUFA Asmaa Rhazouani,2021,"BioMed Research International 2021, 19 pages, 2021",BioMed Research International,2021,,19 pages
"Adsorption of crystal violet onto an agricultural waste residue: kinetics, isotherm, thermodynamics, and mechanism of adsorption",I Loulidi,2020,"The Scientific World Journal 2020, 2020",The Scientific World Journal,2020,,
"Accumulation and toxicological effects of cadmium, copper and zinc on the growth and photosynthesis of the freshwater diatom Planothidium lanceolatum (Brébisson) Lange-Bertalot",BO F. Aziz. K. Sbihi,2012,"Journal of Materials and Environmental Science 3 (3), 2012",Journal of Materials and Environmental Science,3,3,
Machine learning algorithms for efficient water quality prediction,M Azrour,2022,"Modeling Earth Systems and Environment 8 (2), 2793-2801, 2022",Modeling Earth Systems and Environment,8,2,2793-2801
Reuse of treated wastewater in agriculture: solving water deficit problems in arid areas,F Aziz,2014,"Annals of West University of Timisoara: Series of Biology 17 (2), 2014",Annals of West University of Timisoara: Series of Biology,17,2,
Antidiabetic potential of Caralluma europaea against alloxan-induced diabetes in mice,LA Dra,2019,"Saudi journal of biological sciences 26 (6), 1171-1178, 2019",Saudi journal of biological sciences,26,6,1171-1178
Impact of fertilization by natural manure on the microbial quality of soil: Mo-lecular Approach,LM AZIZ Faissal,2017,"Saudi Journal of Biological Sciences 24 (6), 1437-1443, 2017",Saudi Journal of Biological Sciences,24,6,1437-1443
Biotechnological approach of greywater treatment and reuse for landscape irrigation in small communities,J Laaffat,2019,"Saudi journal of biological sciences 26 (1), 83-90, 2019",Saudi journal of biological sciences,26,1,83-90
Assessment of biogas and biofertilizer produced from anaerobic co-digestion of olive mill wastewater with municipal wastewater and cow dung,A Tallou,2020,"Environmental Technology & Innovation 20, 101152, 2020",Environmental Technology & Innovation,20,,101152
Effect of plasticizers on physicochemical properties of cellulose nanocrystals filled alginate bionanocomposite films,N El Miri,2018,"Advances in Polymer Technology 37 (8), 3171-3185, 2018",Advances in Polymer Technology,37,8,3171-3185
Review on cow manure as renewable energy,A Tallou,2020,"Smart Village Technology: Concepts and Developments, 341-352, 2020","Smart Village Technology: Concepts and Developments,",341-352,,
Inhibiting effect of textile wastewater on the activity of sludge from the biological treatment process of the activated sludge plant,L Gebrati,2019,"Saudi Journal of biological sciences 26 (7), 1753-1757, 2019",Saudi Journal of biological sciences,26,7,1753-1757
Inoculation with selected indigenous mycorrhizal complex improves Ceratonia siliqua’s growth and response to drought stress,I Jadrane,2021,"Saudi Journal of Biological Sciences 28 (1), 825-832, 2021",Saudi Journal of Biological Sciences,28,1,825-832
Characteristics of cellulose microfibers and nanocrystals isolated from doum tree (Chamaerops humilis var. argentea),A Bahloul,2021,"Cellulose 28, 4089-4103, 2021",Cellulose,28,,4089-4103
Engineering of highly Brachychiton populneus shells@ polyaniline bio-sorbent for efficient removal of pesticides from wastewater: Optimization using BBD-RSM approach,K Aziz,2022,"Journal of Molecular Liquids 346, 117092, 2022",Journal of Molecular Liquids,346,,117092
Pathogens evolution during the composting of the household waste mixture enriched with phosphate residues and olive oil mill wastewater,K Atif,2020,"Waste and Biomass Valorization 11, 1789-1797, 2020",Waste and Biomass Valorization,11,,1789-1797
"Can the application of graphene oxide contribute to the fight against COVID-19? Antiviral activity, diagnosis and prevention",LGMSUAF Asmaa Rhazouani,2021,"Current Research in Pharmacology and Drug Discovery 2 (100062), 2021",Current Research in Pharmacology and Drug Discovery,2,100062,
Therapeutic potential of polyphenols in the management of diabetic neuropathy,MT Kabir,2021,"Evidence-Based Complementary and Alternative Medicine 2021, 1-20, 2021",Evidence-Based Complementary and Alternative Medicine,2021,,1-20
