Article_Title,Speciality,Year,Description,Revue,Volume,Number,Pages
Temperature influence on performance of a solar cell receiving direct sunlight and a halogen lamp irradiation,Energy and Renewable Resources,2017,"2016 International Renewable and Sustainable Energy Conference (IRSEC), 218 …, 2017",,2016,,218
Two New HATNet Hot Jupiters around A Stars and the First Glimpse at the Occurrence Rate of Hot Jupiters from TESS∗,Physics,2019,"The Astronomical Journal 158 (4), 141, 2019",The Astronomical Journal,158,4,141
Power and duration of impact flashes on the Moon: Implication for the cause of radiation,Physics,2012,"Icarus 218 (1), 115-124, 2012",Icarus,218,1,115124
"Study of the Plutino Object (208996) 2003 AZ84 from Stellar occultations: size, shape, and topographic features",Physics,2017,"The Astronomical Journal 154 (1), 22, 2017",The Astronomical Journal,154,1,22
"Discovery of Three New Transiting Hot Jupiters: WASP-161 b, WASP-163 b, and WASP-170 b",Physics,2019,"The Astronomical Journal 157 (2), 43, 2019",The Astronomical Journal,157,2,43
"Lower atmosphere and pressure evolution on Pluto from ground-based stellar occultations, 1988–2016",Physics,2019,"Astronomy & Astrophysics 625, A42, 2019",Astronomy & Astrophysics,625,,42
Monitoring of the activity and composition of comets 41P/Tuttle–Giacobini–Kresak and 45P/Honda–Mrkos–Pajdusakova,Physics,2018,"Astronomy & Astrophysics 619, A156, 2018",Astronomy & Astrophysics,619,,156
Climatology of thermospheric neutral winds over Oukaïmeden Observatory in Morocco,Physics,2017,"Annales Geophysicae 35 (1), 161-170, 2017",Annales Geophysicae,35,1,161170
Constraints on the structure and seasonal variations of Triton’s atmosphere from the 5 October 2017 stellar occultation and previous observations,Physics,2022,"Astronomy & Astrophysics 659, A136, 2022",Astronomy & Astrophysics,659,,136
A helium P-Cygni profile in RR Lyrae stars?,Physics,2016,"Astronomy & Astrophysics 587, A134, 2016",Astronomy & Astrophysics,587,,134
Ionospheric and thermospheric response to the 27–28 February 2014 geomagnetic storm over north Africa,Physics,2018,"Annales Geophysicae 36 (4), 987-998, 2018",Annales Geophysicae,36,4,987998
First lunar flashes observed from Morocco (ILIAD Network): implications for Lunar seismology,Physics,2015,"Earth, Moon, and Planets 115, 1-21, 2015","Earth, Moon, and Planets",115,,121
Birth of meteor network in Morocco–Analysis for the 2012 Geminids,Physics,2013,"WGN, Journal of the International Meteor Organization 41 (4), 121-128, 2013","WGN, Journal of the International Meteor Organization",41,4,121128
"Qatar Exoplanet Survey: Qatar-8b, 9b, and 10b—A Hot Saturn and Two Hot Jupiters",Physics,2019,"The Astronomical Journal 157 (6), 224, 2019",The Astronomical Journal,157,6,224
"Stellar Occultations by Large TNOs on 2012: The February 3rd by (208996) 2003 AZ84, and the February 17th by (50000) Quaoar",Physics,2012,"AAS/Division for Planetary Sciences Meeting Abstracts# 44 44, 402.01, 2012",AAS/Division for Planetary Sciences Meeting Abstracts#,4444,,40201
Two transiting hot Jupiters from the WASP survey: WASP-150b and WASP-176b,Physics,2020,"The Astronomical Journal 159 (6), 255, 2020",The Astronomical Journal,159,6,255
Another shipment of six short-period giant planets from TESS,Physics,2023,"Monthly Notices of the Royal Astronomical Society 521 (2), 2765-2785, 2023",Monthly Notices of the Royal Astronomical Society,521,2,27652785
Assessment of the potential of the new Belgo-Moroccan telescope TRAPPIST-North for high-precision exoplanet transit photometry,Physics,2017,"Journal of Physics: Conference Series 869 (1), 012073, 2017",Journal of Physics: Conference Series,869,1,012073
"The Morocco Oukaimeden Sky Survey, the MOSS Telescope",Physics,2012,"Asteroids, Comets, Meteors 2012 1667, 6182, 2012","Asteroids, Comets, Meteors",20121667,,6182
RR Lyr Spectrophotometric Campaign from Oukaimeden Observatory,Physics,2018,"The RR Lyrae 2017 Conference. Revival of the Classical Pulsators: from …, 2018",The RR Lyrae,2017,,
Metallic line doubling in the spectra of the variable RR Lyrae star,Physics,2017,"Journal of Physics: Conference Series 869 (1), 012088, 2017",Journal of Physics: Conference Series,869,1,012088
Theoretical modeling and experimental studies of Terebinth extracts as green corrosion inhibitor for iron in 3% NaCl medium,Physics,2020,"Journal of King Saud University-Science 32 (7), 2995-3004, 2020",Journal of King Saud University-Science,32,7,29953004
"Identification of a novel dual-target scaffold for 3CLpro and RdRp proteins of SARS-CoV-2 using 3D-similarity search, molecular docking, molecular dynamics and ADMET evaluation",Physics,2021,"Journal of Biomolecular Structure and Dynamics 39 (12), 4522-4535, 2021",Journal of Biomolecular Structure and Dynamics,39,12,45224535
"In silico molecular investigations of pyridine N-Oxide compounds as potential inhibitors of SARS-CoV-2: 3D QSAR, molecular docking modeling, and ADMET screening",Physics,2022,"Journal of Biomolecular Structure and Dynamics 40 (1), 143-153, 2022",Journal of Biomolecular Structure and Dynamics,40,1,143153
"3D-QSAR modeling and molecular docking studies on a series of 2, 5 disubstituted 1, 3, 4-oxadiazoles",Physics,2017,"Journal of Molecular Structure 1145, 278-284, 2017",Journal of Molecular Structure,1145,,278284
"Furanone derivatives as new inhibitors of CDC7 kinase: development of structure activity relationship model using 3D QSAR, molecular docking, and in silico ADMET",Physics,2018,"Structural Chemistry 29, 1031-1043, 2018",Structural Chemistry,29,,10311043
"Combined 3D-QSAR and molecular docking study on 7, 8-dialkyl-1, 3-diaminopyrrolo-[3, 2-f] Quinazoline series compounds to understand the binding mechanism of DHFR inhibitors",Physics,2017,"Journal of Molecular Structure 1139, 319-327, 2017",Journal of Molecular Structure,1139,,319327
"In silico exploration of aryl halides analogues as checkpoint kinase 1 inhibitors by using 3D QSAR, molecular docking study, and ADMET screening",Physics,2019,"Advanced Pharmaceutical Bulletin 9 (1), 84, 2019",Advanced Pharmaceutical Bulletin,9,1,84
"3D QSAR studies, molecular docking and ADMET evaluation, using thiazolidine derivatives as template to obtain new inhibitors of PIM1 kinase",Physics,2018,"Computational Biology and Chemistry 74, 201-211, 2018",Computational Biology and Chemistry,74,,201211
"Synthesis, spectroscopic characterization (FT-IR, NMR) and DFT computational studies of new isoxazoline derived from acridone",Physics,2021,"Journal of Molecular Structure 1231, 129921, 2021",Journal of Molecular Structure,1231,,129921
"Synthesis, biological evaluation, molecular docking and in silico ADMET screening studies of novel isoxazoline derivatives from acridone",Physics,2021,"Arabian Journal of Chemistry 14 (4), 103057, 2021",Arabian Journal of Chemistry,14,4,103057
"QSAR study of new compounds based on 1, 2, 4-triazole as potential anticancer agents",Physics,2020,"Physical Chemistry Research 8 (1), 125-137, 2020",Physical Chemistry Research,8,1,125137
"Click synthesis, anticancer activity, and molecular docking investigation of some functional 1, 2, 3-triazole derivatives",Physics,2022,"Biointerface Research in Applied Chemistry, 2022, vol. 12, num. 6, p. 7633-7667, 2022","Biointerface Research in Applied Chemistry,",2022,,12
"Investigation of indirubin derivatives: a combination of 3D-QSAR, molecular docking, and ADMET towards the design of new DRAK2 inhibitors",Physics,2018,"Structural Chemistry 29, 1609-1622, 2018",Structural Chemistry,29,,16091622
"Computer aided drug design based on 3D-QSAR and molecular docking studies of 5-(1H-indol-5-yl)-1, 3, 4-thiadiazol-2-amine derivatives as PIM2 inhibitors: a proposal to chemists",Physics,2018,"In Silico Pharmacology 6, 1-14, 2018",In Silico Pharmacology,6,,114
QSAR study and rustic ligand-based virtual screening in a search for aminooxadiazole derivatives as PIM1 inhibitors,Physics,2018,"Chemistry Central Journal 12, 1-12, 2018",Chemistry Central Journal,12,,112
Combining DFT and QSAR studies for predicting psychotomimetic activity of substituted phenethylamines using statistical methods,Physics,2016,"Journal of Taibah University for Science 10 (6), 787-796, 2016",Journal of Taibah University for Science,10,6,787796
Chemical Profiling and Biological Properties of Essential Oils of Lavandula stoechas L. Collected from Three Moroccan Sites: In Vitro and In Silico Investigations,Physics,2023,"Plants 12 (6), 1413, 2023",Plants,12,6,1413
"Prediction of biological activity of pyrazolo [3, 4-b] quinolinyl acitamide by qsar results",Physics,2018,"RHAZES: Green and Applied Chemistry 3 (3), 79-93, 2018",RHAZES: Green and Applied Chemistry,3,3,7993
Molecular docking and 3D-QSAR studies on 7-azaindole derivatives as inhibitors of Trk a: a strategic design in novel anticancer agents,Physics,2018,"Letters in Drug Design & Discovery 15 (11), 1211-1223, 2018",Letters in Drug Design & Discovery,15,11,12111223
Feedback stabilization of a class of evolution equations with delay,Medicine and Health Sciences,2009,"Journal of Evolution Equations 9, 103-121, 2009",Journal of Evolution Equations,9,,103121
Almost periodic solutions to some semilinear non-autonomous thermoelastic plate equations,Medicine and Health Sciences,2009,"Journal of Mathematical Analysis and Applications 349 (1), 74-84, 2009",Journal of Mathematical Analysis and Applications,349,1,7484
Almost automorphic solutions for hyperbolic semilinear evolution equations,Medicine and Health Sciences,2005,"Semigroup Forum 71, 231-240, 2005",Semigroup Forum,71,,231240
Almost automorphy of semilinear parabolic evolution equations.,Medicine and Health Sciences,2008,"Electronic Journal of Differential Equations (EJDE)[electronic only] 2008 …, 2008",Electronic Journal of Differential Equations (EJDE)[electronic only],2008,,
Controllability of semilinear boundary problems with nonlocal initial conditions,Medicine and Health Sciences,2006,"Journal of mathematical analysis and applications 316 (2), 566-578, 2006",Journal of mathematical analysis and applications,316,2,566578
Wellposedness and asymptotic behaviour of non-autonomous boundary Cauchy problems,Medicine and Health Sciences,2006,"Walter de Gruyter 18 (4), 611-638, 2006",Walter de Gruyter,18,4,611638
Robustness of controllability under some unbounded perturbations,Medicine and Health Sciences,2005,"Journal of mathematical analysis and applications 304 (1), 409-421, 2005",Journal of mathematical analysis and applications,304,1,409421
Approximate positive controllability of positive boundary control systems,Medicine and Health Sciences,2014,"Positivity 18, 375-393, 2014",Positivity,18,,375393
The modulus semigroup for linear delay equations,Medicine and Health Sciences,2004,"Positivity 8 (1), 1-9, 2004",Positivity,8,1,19
The asymptotic behaviour of perturbed evolution families,Medicine and Health Sciences,2002,,,,,
Exponential energy decay of some coupled second order systems,Medicine and Health Sciences,2013,"Semigroup Forum 86, 362-382, 2013",Semigroup Forum,86,,362382
Almost automorphic solutions for semilinear boundary differential equations,Medicine and Health Sciences,2006,"Proceedings of the American Mathematical Society 134 (12), 3613-3624, 2006",Proceedings of the American Mathematical Society,134,12,36133624
Sufficient and necessary conditions for the solvability of the state feedback regulation problem,Medicine and Health Sciences,2014,"International Journal of Robust and Nonlinear Control 24 (17), 2958-2973, 2014",International Journal of Robust and Nonlinear Control,24,17,29582973
Non-autonomous retarded differential equations: the variation of constants formulas and the asymptotic behaviour.,Medicine and Health Sciences,2003,"Electronic Journal of Differential Equations (EJDE)[electronic only] 2003 …, 2003",Electronic Journal of Differential Equations (EJDE)[electronic only],2003,,
Stabilization of coupled second order systems with delay,Medicine and Health Sciences,2010,"arXiv preprint arXiv:1010.3636, 2010",arXiv preprint arXiv:,10103636,,
Robust multivariable PI-controllers for linear systems in Banach state spaces,Medicine and Health Sciences,2009,"Journal of mathematical analysis and applications 349 (1), 90-99, 2009",Journal of mathematical analysis and applications,349,1,9099
Mathematical analysis of a PDE epidemiological model applied to scrapie transmission,Medicine and Health Sciences,2008,"Communications on Pure and Applied Analysis 7 (3), 659, 2008",Communications on Pure and Applied Analysis,7,3,659
Critical spectrum and stability for population equations with diffusion in unbounded domains,Medicine and Health Sciences,2005,"Discrete and Continuous Dynamical Systems-B 5 (2), 265-276, 2005",Discrete and Continuous Dynamical Systems-B,5,2,265276
Error feedback regulation problem for regular linear systems,Medicine and Health Sciences,2018,"IMA Journal of Mathematical Control and Information 35 (1), 315-339, 2018",IMA Journal of Mathematical Control and Information,35,1,315339
Constrained approximate controllability of boundary control systems,Medicine and Health Sciences,2016,"IMA Journal of Mathematical Control and Information 33 (3), 669-683, 2016",IMA Journal of Mathematical Control and Information,33,3,669683
Drying characteristics and kinetics solar drying of Mediterranean mussel (mytilus galloprovincilis) type under forced convection,Energy and Renewable Resources,2020,"Renewable Energy 147, 833-844, 2020",Renewable Energy,147,,833844
Drying characteristics and kinetics solar drying of Mediterranean mussel (mytilus galloprovincilis) type under forced convection,Medicine and Health Sciences,2020,"Renewable Energy 147, 833-844, 2020",Renewable Energy,147,,833844
Drying characteristics and kinetics solar drying of Mediterranean mussel (mytilus galloprovincilis) type under forced convection,Environmental Science,2020,"Renewable Energy 147, 833-844, 2020",Renewable Energy,147,,833844
"Investigation of hygroscopic equilibrium and modeling sorption isotherms of the argan products: A comparative study of leaves, pulps, and fruits",Energy and Renewable Resources,2019,"Food and Bioproducts Processing 114, 12-22, 2019",Food and Bioproducts Processing,114,,1222
"Investigation of hygroscopic equilibrium and modeling sorption isotherms of the argan products: A comparative study of leaves, pulps, and fruits",Medicine and Health Sciences,2019,"Food and Bioproducts Processing 114, 12-22, 2019",Food and Bioproducts Processing,114,,1222
"Investigation of hygroscopic equilibrium and modeling sorption isotherms of the argan products: A comparative study of leaves, pulps, and fruits",Environmental Science,2019,"Food and Bioproducts Processing 114, 12-22, 2019",Food and Bioproducts Processing,114,,1222
Energy and exergy analyses of carob pulp drying system based on a solar collector,Energy and Renewable Resources,2021,"Renewable Energy 163, 495-503, 2021",Renewable Energy,163,,495503
Energy and exergy analyses of carob pulp drying system based on a solar collector,Medicine and Health Sciences,2021,"Renewable Energy 163, 495-503, 2021",Renewable Energy,163,,495503
Energy and exergy analyses of carob pulp drying system based on a solar collector,Environmental Science,2021,"Renewable Energy 163, 495-503, 2021",Renewable Energy,163,,495503
Application of solar drying on the apple peels using an indirect hybrid solar-electrical forced convection dryer,Energy and Renewable Resources,2021,"Renewable Energy 168, 131-140, 2021",Renewable Energy,168,,131140
Application of solar drying on the apple peels using an indirect hybrid solar-electrical forced convection dryer,Medicine and Health Sciences,2021,"Renewable Energy 168, 131-140, 2021",Renewable Energy,168,,131140
Application of solar drying on the apple peels using an indirect hybrid solar-electrical forced convection dryer,Environmental Science,2021,"Renewable Energy 168, 131-140, 2021",Renewable Energy,168,,131140
Recent advances in environmental science from the Euro-Mediterranean and surrounding regions: proceedings of Euro-Mediterranean Conference for Environmental Integration (EMCEI …,Energy and Renewable Resources,2018,"Springer International Publishing, 2018","Springer International Publishing,",,,
Recent advances in environmental science from the Euro-Mediterranean and surrounding regions: proceedings of Euro-Mediterranean Conference for Environmental Integration (EMCEI …,Medicine and Health Sciences,2018,"Springer International Publishing, 2018","Springer International Publishing,",,,
Recent advances in environmental science from the Euro-Mediterranean and surrounding regions: proceedings of Euro-Mediterranean Conference for Environmental Integration (EMCEI …,Environmental Science,2018,"Springer International Publishing, 2018","Springer International Publishing,",,,
Drying kinetics and energy analysis of carob seeds (Ceratonia siliqua L.) convective solar drying,Energy and Renewable Resources,2022,"Journal of Thermal Analysis and Calorimetry, 1-11, 2022","Journal of Thermal Analysis and Calorimetry,",111,,
Drying kinetics and energy analysis of carob seeds (Ceratonia siliqua L.) convective solar drying,Medicine and Health Sciences,2022,"Journal of Thermal Analysis and Calorimetry, 1-11, 2022","Journal of Thermal Analysis and Calorimetry,",111,,
Drying kinetics and energy analysis of carob seeds (Ceratonia siliqua L.) convective solar drying,Environmental Science,2022,"Journal of Thermal Analysis and Calorimetry, 1-11, 2022","Journal of Thermal Analysis and Calorimetry,",111,,
Water sorption isotherms and drying characteristics of rupturewort (Herniaria hirsuta) during a convective solar drying for a better conservation,Energy and Renewable Resources,2020,"Solar Energy 201, 916-926, 2020",Solar Energy,201,,916926
Water sorption isotherms and drying characteristics of rupturewort (Herniaria hirsuta) during a convective solar drying for a better conservation,Medicine and Health Sciences,2020,"Solar Energy 201, 916-926, 2020",Solar Energy,201,,916926
Water sorption isotherms and drying characteristics of rupturewort (Herniaria hirsuta) during a convective solar drying for a better conservation,Environmental Science,2020,"Solar Energy 201, 916-926, 2020",Solar Energy,201,,916926
Exploring drying kinetics and energy exergy performance of Mytilus Chilensis and Dosidicus gigas undergoing microwave treatment,Energy and Renewable Resources,2020,"Heat and Mass Transfer 56, 2985-2999, 2020",Heat and Mass Transfer,56,,29852999
Exploring drying kinetics and energy exergy performance of Mytilus Chilensis and Dosidicus gigas undergoing microwave treatment,Medicine and Health Sciences,2020,"Heat and Mass Transfer 56, 2985-2999, 2020",Heat and Mass Transfer,56,,29852999
Exploring drying kinetics and energy exergy performance of Mytilus Chilensis and Dosidicus gigas undergoing microwave treatment,Environmental Science,2020,"Heat and Mass Transfer 56, 2985-2999, 2020",Heat and Mass Transfer,56,,29852999
Physicochemical study of the conservation of Moroccan anchovies by convective solar drying,Energy and Renewable Resources,2020,"Renewable Energy 152, 44-54, 2020",Renewable Energy,152,,4454
Physicochemical study of the conservation of Moroccan anchovies by convective solar drying,Medicine and Health Sciences,2020,"Renewable Energy 152, 44-54, 2020",Renewable Energy,152,,4454
Physicochemical study of the conservation of Moroccan anchovies by convective solar drying,Environmental Science,2020,"Renewable Energy 152, 44-54, 2020",Renewable Energy,152,,4454
Moisture sorption measurements and Thermophysical characterization of the Taraxacum officinale leaves and root,Energy and Renewable Resources,2020,"Heat and Mass Transfer 56, 2065-2077, 2020",Heat and Mass Transfer,56,,20652077
Moisture sorption measurements and Thermophysical characterization of the Taraxacum officinale leaves and root,Medicine and Health Sciences,2020,"Heat and Mass Transfer 56, 2065-2077, 2020",Heat and Mass Transfer,56,,20652077
Moisture sorption measurements and Thermophysical characterization of the Taraxacum officinale leaves and root,Environmental Science,2020,"Heat and Mass Transfer 56, 2065-2077, 2020",Heat and Mass Transfer,56,,20652077
Cyclical variation of drying air temperature on Mytilus galloprovincialis convective drying,Energy and Renewable Resources,2020,"Solar Energy 211, 1070-1083, 2020",Solar Energy,211,,10701083
Cyclical variation of drying air temperature on Mytilus galloprovincialis convective drying,Medicine and Health Sciences,2020,"Solar Energy 211, 1070-1083, 2020",Solar Energy,211,,10701083
Cyclical variation of drying air temperature on Mytilus galloprovincialis convective drying,Environmental Science,2020,"Solar Energy 211, 1070-1083, 2020",Solar Energy,211,,10701083
The characterization and modeling kinetics for drying of taraxacum officinale leaves in a thin layer with a convective solar dryer,Energy and Renewable Resources,2019,"Proceedings of the 1st International Conference on Electronic Engineering …, 2019",Proceedings of the,1,,
The characterization and modeling kinetics for drying of taraxacum officinale leaves in a thin layer with a convective solar dryer,Medicine and Health Sciences,2019,"Proceedings of the 1st International Conference on Electronic Engineering …, 2019",Proceedings of the,1,,
The characterization and modeling kinetics for drying of taraxacum officinale leaves in a thin layer with a convective solar dryer,Environmental Science,2019,"Proceedings of the 1st International Conference on Electronic Engineering …, 2019",Proceedings of the,1,,
Evaluation of the influence of ambient air temperature and air velocity on mortar cement durability using a forced convection solar dryer,Energy and Renewable Resources,2022,"International Journal of Building Pathology and Adaptation 40 (4), 462-480, 2022",International Journal of Building Pathology and Adaptation,40,4,462480
Evaluation of the influence of ambient air temperature and air velocity on mortar cement durability using a forced convection solar dryer,Medicine and Health Sciences,2022,"International Journal of Building Pathology and Adaptation 40 (4), 462-480, 2022",International Journal of Building Pathology and Adaptation,40,4,462480
Evaluation of the influence of ambient air temperature and air velocity on mortar cement durability using a forced convection solar dryer,Environmental Science,2022,"International Journal of Building Pathology and Adaptation 40 (4), 462-480, 2022",International Journal of Building Pathology and Adaptation,40,4,462480
Exploring the sorption and thermodynamic proprieties of white truffle (Terfezia boudieri),Energy and Renewable Resources,2021,"Journal of Food Process Engineering 44 (12), e13888, 2021",Journal of Food Process Engineering,44,12,13888
Exploring the sorption and thermodynamic proprieties of white truffle (Terfezia boudieri),Medicine and Health Sciences,2021,"Journal of Food Process Engineering 44 (12), e13888, 2021",Journal of Food Process Engineering,44,12,13888
Exploring the sorption and thermodynamic proprieties of white truffle (Terfezia boudieri),Environmental Science,2021,"Journal of Food Process Engineering 44 (12), e13888, 2021",Journal of Food Process Engineering,44,12,13888
Investigating the impact of drying parameters on the dandelion root using full factorial design of experiments,Energy and Renewable Resources,2019,"International Journal of Sustainable Agricultural Management and Informatics …, 2019","International Journal of Sustainable Agricultural Management and Informatics …,",,,
Investigating the impact of drying parameters on the dandelion root using full factorial design of experiments,Medicine and Health Sciences,2019,"International Journal of Sustainable Agricultural Management and Informatics …, 2019","International Journal of Sustainable Agricultural Management and Informatics …,",,,
Investigating the impact of drying parameters on the dandelion root using full factorial design of experiments,Environmental Science,2019,"International Journal of Sustainable Agricultural Management and Informatics …, 2019","International Journal of Sustainable Agricultural Management and Informatics …,",,,
The determination of moisture sorption isotherms and the isosteric heat of sorption for irradiated and non-irradiated durum wheat,Energy and Renewable Resources,2020,"Moroccan Journal of Chemistry 8 (4), 8-1 (2020) 853-365, 2020",Moroccan Journal of Chemistry,8,4,812020853365
The determination of moisture sorption isotherms and the isosteric heat of sorption for irradiated and non-irradiated durum wheat,Medicine and Health Sciences,2020,"Moroccan Journal of Chemistry 8 (4), 8-1 (2020) 853-365, 2020",Moroccan Journal of Chemistry,8,4,812020853365
The determination of moisture sorption isotherms and the isosteric heat of sorption for irradiated and non-irradiated durum wheat,Environmental Science,2020,"Moroccan Journal of Chemistry 8 (4), 8-1 (2020) 853-365, 2020",Moroccan Journal of Chemistry,8,4,812020853365
Modeling the solar drying of dandelion leaves by factorial experimental design,Energy and Renewable Resources,2019,"Euro-Mediterranean Journal for Environmental Integration 4, 1-7, 2019",Euro-Mediterranean Journal for Environmental Integration,4,,17
Modeling the solar drying of dandelion leaves by factorial experimental design,Medicine and Health Sciences,2019,"Euro-Mediterranean Journal for Environmental Integration 4, 1-7, 2019",Euro-Mediterranean Journal for Environmental Integration,4,,17
Modeling the solar drying of dandelion leaves by factorial experimental design,Environmental Science,2019,"Euro-Mediterranean Journal for Environmental Integration 4, 1-7, 2019",Euro-Mediterranean Journal for Environmental Integration,4,,17
The experimental study and modeling the drying kinetics of mediterranean mussel (mytilus galloprovincilis) type by convective solar energy,Energy and Renewable Resources,2019,"Advanced Intelligent Systems for Sustainable Development (AI2SD’2018) Vol 2 …, 2019",Advanced Intelligent Systems for Sustainable Development (AI,220182,,
The experimental study and modeling the drying kinetics of mediterranean mussel (mytilus galloprovincilis) type by convective solar energy,Medicine and Health Sciences,2019,"Advanced Intelligent Systems for Sustainable Development (AI2SD’2018) Vol 2 …, 2019",Advanced Intelligent Systems for Sustainable Development (AI,220182,,
The experimental study and modeling the drying kinetics of mediterranean mussel (mytilus galloprovincilis) type by convective solar energy,Environmental Science,2019,"Advanced Intelligent Systems for Sustainable Development (AI2SD’2018) Vol 2 …, 2019",Advanced Intelligent Systems for Sustainable Development (AI,220182,,
Experimental study of the impact of drying parameters on dandelion root by a solar dryer,Energy and Renewable Resources,2019,"Advanced Intelligent Systems for Sustainable Development (AI2SD’2018) Vol 2 …, 2019",Advanced Intelligent Systems for Sustainable Development (AI,220182,,
Experimental study of the impact of drying parameters on dandelion root by a solar dryer,Medicine and Health Sciences,2019,"Advanced Intelligent Systems for Sustainable Development (AI2SD’2018) Vol 2 …, 2019",Advanced Intelligent Systems for Sustainable Development (AI,220182,,
Experimental study of the impact of drying parameters on dandelion root by a solar dryer,Environmental Science,2019,"Advanced Intelligent Systems for Sustainable Development (AI2SD’2018) Vol 2 …, 2019",Advanced Intelligent Systems for Sustainable Development (AI,220182,,
"Evaluating water sorption isotherms, drying kinetics and exergy performance of traditionally earth mortar drying system based on hybrid solar-electrical dryer",Energy and Renewable Resources,2022,"International Journal of Building Pathology and Adaptation, 2022","International Journal of Building Pathology and Adaptation,",,,
"Evaluating water sorption isotherms, drying kinetics and exergy performance of traditionally earth mortar drying system based on hybrid solar-electrical dryer",Medicine and Health Sciences,2022,"International Journal of Building Pathology and Adaptation, 2022","International Journal of Building Pathology and Adaptation,",,,
"Evaluating water sorption isotherms, drying kinetics and exergy performance of traditionally earth mortar drying system based on hybrid solar-electrical dryer",Environmental Science,2022,"International Journal of Building Pathology and Adaptation, 2022","International Journal of Building Pathology and Adaptation,",,,
La montagne dans la politique d'aménagement du territoire du Maroc/The place of mountain areas in Morocco's national planning and development policies,Geography and Tourism,1996,"Revue de géographie alpine 84 (4), 37-50, 1996",Revue de géographie alpine,84,4,3750
Turismo accesible para todos. Evaluación del grado de accesibilidad universal de los parques y jardines de Marrakech.,Geography and Tourism,2020,"PASOS Revista de turismo y patrimonio cultural 18 (1), 57-81, 2020",PASOS Revista de turismo y patrimonio cultural,18,1,5781
"Toponymie et recomposition territoriale au Maroc: Figures, sens et logiques",Geography and Tourism,2008,"L’Espace Politique. Revue en ligne de géographie politique et de géopolitique, 2008","L’Espace Politique. Revue en ligne de géographie politique et de géopolitique,",,,
Ressources patrimoniales et développement des territoires touristiques dans le Haut Atlas et les régions sud du Maroc,Geography and Tourism,2014,"Journal of Alpine Research| Revue de géographie alpine, 2014","Journal of Alpine Research| Revue de géographie alpine,",,,
Le patrimoine au secours des agricultures familiales? Éclairages méditerranéens,Geography and Tourism,2014,"Revue Tiers Monde, 139-160, 2014","Revue Tiers Monde,",139160,,
Tourisme et aménagement du territoire au Maroc: quels agencements?,Geography and Tourism,2005,"Téoros. Revue de recherche en tourisme 24 (24-1), 12-19, 2005",Téoros. Revue de recherche en tourisme,24,241,1219
Innovation et recomposition territoriale au Maroc. Une mise en perspective géo‐historique,Geography and Tourism,2002,"Rencontres scientifiques franco-Sud-Africaines de l'innovation territoriale, 14, 2002","Rencontres scientifiques franco-Sud-Africaines de l'innovation territoriale,",14,,
Les conditions de la mise en tourisme de la haute montagne et ses effets sur le territoire. L'apport d'une comparaison entre le Haut-Atlas et le Népal mise en perspective à l …,Geography and Tourism,1998,"Revue de géographie alpine 86 (1), 67-82, 1998",Revue de géographie alpine,86,1,6782
Tourisme de montagne au Maroc: enjeux de la durabilté,Geography and Tourism,2004,"Le tourisme durable, réalités et perspectives marocaines et internationales …, 2004","Le tourisme durable, réalités et perspectives marocaines et internationales …,",,,
Acteurs et territoires touristiques de Marrakech/Actors and tourist territories at Marrakech,Geography and Tourism,2001,"Géocarrefour 76 (2), 91-97, 2001",Géocarrefour,76,2,9197
"La ruée vers l’huile d’argan, chronique de la patrimonialisation d’un terroir marocain",Geography and Tourism,2010,"Hespéris Tamuda 45 (2010), 151-166, 2010",Hespéris Tamuda,45,2010,151166
Des territoires qui s’ ignorent? Dichotomie entre territoires administratifs et espaces de mobilisation au Maroc,Geography and Tourism,2000,"Montagnes méditerranéennes 12, 61-70, 2000",Montagnes méditerranéennes,12,,6170
Tourisme et pauvreté,Geography and Tourism,2011,"Archives contemporaines, 2011","Archives contemporaines,",,,
Heritage resources and the development of tourist areas in the High Atlas and southern regions of Morocco,Geography and Tourism,2014,"Journal of Alpine Research| Revue de géographie alpine, 2014","Journal of Alpine Research| Revue de géographie alpine,",,,
"Les territoires à l'épreuve des normes: référents et innovations: contributions croisées sud-africaines, françaises et marocaines",Geography and Tourism,2009,"LERMA-Montagnes Méditerrannéennes, 2009","LERMA-Montagnes Méditerrannéennes,",,,
"Turismo accesible, turismo para todos. Análisis de la accesibilidad en los establecimientos hoteleros de Marrakech",Geography and Tourism,2018,"CCCSS. Contribuciones a las Ciencias Sociales En linea, 2018","CCCSS. Contribuciones a las Ciencias Sociales En linea,",,,
"Derrière l’huile d’argan, la forêt d’arganiers: écosystème en péril ou terroirs forestiers domestiques",Geography and Tourism,2016,"Les terroirs au Sud, vers un nouveau modèle, 111-124, 2016","Les terroirs au Sud, vers un nouveau modèle,",111124,,
"La filière «huile d’argan» au Maroc. Construction, enjeux et perspectives»",Geography and Tourism,2016,"Les terroirs au Sud, vers un nouveau modèle, 271-289, 2016","Les terroirs au Sud, vers un nouveau modèle,",271289,,
Patrimonialisation de de la montagne au Maroc: le rôle du tourisme en question,Geography and Tourism,2004,"Actes du colloque Communication Interculturelle, Patrimoine et Tourisme …, 2004","Actes du colloque Communication Interculturelle, Patrimoine et Tourisme …,",,,
"The Surface Urban Heat Island and Key Mitigation Factors in Arid Climate Cities, Case of Marrakesh, Morocco",Geography and Tourism,2022,"Remote Sensing 14 (16), 3935, 2022",Remote Sensing,14,16,3935
